FlyGeneID	ZebrafishGeneID	MouseGeneID	HumanSymbol
Nse4	nsmce4a	Nsmce4a	NSMCE4A
Nsun2	nsun2	Nsun2	NSUN2
Nsun5	nsun5	Nsun5	NSUN5
Ntan1	ntan1	Ntan1	NTAN1
Nuak1	nuak2	Nuak2	NUAK2
Nufip	nufip1	Nufip1	NUFIP1
Nulp1	tcf25	Tcf25	TCF25
Nup107	nup107	Nup107	NUP107
Nup133	nup133	Nup133	NUP133
Nup153	nup153	Nup153	NUP153
Nup154	nup155	Nup155	NUP155
Nup160	nup160	Nup160	NUP160
Nup188	nup188	Nup188	NUP188
Nup205	nup205	Nup205	NUP205
Nup214	nup214	Nup214	NUP214
Nup35	nup35	Nup35	NUP35
Nup358	ranbp1	Ranbp1	RANBP1
Nup37	nup37	Nup37	NUP37
Nup43	nup43	Nup43	NUP43
Nup44A	seh1l	Seh1l	SEH1L
Nup50	nup50	Nup50	NUP50
Nup58	nup58	Nupl1	NUP58
Nup62	nup62l	Nup62	NUP62
Nup75	nup85	Nup85	NUP85
Nup98-96	nup98	Nup98	NUP98
Nurf-38	ppa2	Ppa2	PPA2
Nxt1	nxt2	Nxt2	NXT2
O-fut1	pofut1	Pofut1	POFUT1
O-fut2	pofut2	Pofut2	POFUT2
ORMDL	ormdl3	Ormdl3	ORMDL3
OXA1L	oxa1l	Oxa1l	OXA1L
Oat	oat	Oat	OAT
Oatp26F	slco4a1	Slco4a1	SLCO4A1
Ocrl	ocrl	Ocrl	OCRL
Oda	oaz1a	Oaz1	OAZ1
Ogg1	ogg1	Ogg1	OGG1
Orc1	orc1	Orc1	ORC1
Orc2	orc2	Orc2	ORC2
Orc3	orc3	Orc3	ORC3
Orc4	orc4	Orc4	ORC4
Orc5	orc5	Orc5	ORC5
Orc6	orc6	Orc6	ORC6
Oscillin	gnpda2	Gnpda2	GNPDA2
Oseg2	ift172	Ift172	IFT172
Oseg4	wdr35	Wdr35	WDR35
Oseg5	ift80	Ift80	IFT80
Oseg6	wdr19	Wdr19	WDR19
Ost48	ddost	Ddost	DDOST
OstDelta	rpn2	Rpn2	RPN2
Ostgamma	magt1	Magt1	MAGT1
P32	c1qbp	C1qbp	C1QBP
P58IPK	dnajc3a	Dnajc3	DNAJC3
PAN2	pan2	Pan2	PAN2
PAPLA1	ddhd2	Ddhd2	DDHD2
PCB	pcxb	Pcx	PC
PCID2	pcid2	Pcid2	PCID2
PDCD-5	pdcd5	Pdcd5	PDCD5
PEK	eif2ak3	Eif2ak3	EIF2AK3
PGAP1	pgap1	Pgap1	PGAP1
PGAP3	pgap3	Pgap3	PGAP3
PGRP-LB	pglyrp2	Pglyrp2	PGLYRP2
PHGPx	gpx4b	Gpx4	GPX4
PI4KIIIalpha	pi4kaa	Pi4ka	PI4KA
PICK1	pick1	Pick1	PICK1
PIG-A	piga	Piga	PIGA
PIG-B	pigb	Pigb	PIGB
PIG-C	pigc	Pigc	PIGC
PIG-F	pigf	Pigf	PIGF
PIG-H	pigh	Pigh	PIGH
PIG-K	pigk	Pigk	PIGK
PIG-L	pigl	Pigl	PIGL
PIG-O	pigo	Pigo	PIGO
PIG-Q	pigq	Pigq	PIGQ
PIG-S	pigs	Pigs	PIGS
PIG-T	pigt	Pigt	PIGT
PIG-U	pigu	Pigu	PIGU
PIG-V	pigv	Pigv	PIGV
PIG-X	pigx	Pigx	PIGX
PIP5K59B	pip5k1bb	Pip5k1b	PIP5K1B
PKD	prkd3	Prkd3	PRKD3
PNUTS	ppp1r10	Ppp1r10	PPP1R10
POLDIP2	poldip2	Poldip2	POLDIP2
POSH	sh3rf1	Sh3rf1	SH3RF1
PPP4R2r	ppp4r2a	Ppp4r2	PPP4R2
PQBP1	pqbp1	Pqbp1	PQBP1
PRAS40	akt1s1	Akt1s1	AKT1S1
PRL-1	ptp4a2b	Ptp4a2	PTP4A2
PSR	jmjd6	Jmjd6	JMJD6
PTPMT1	ptpmt1	Ptpmt1	PTPMT1
Pabp2	pabpn1	Pabpn1	PABPN1
Paf-AHalpha	pafah1b2	Pafah1b2	PAFAH1B2
Paics	paics	Paics	PAICS
Paip2	paip2b	Paip2b	PAIP2B
Papss	papss2b	Papss2	PAPSS2
Papst2	slc35b3	Slc35b3	SLC35B3
Parp	parp1	Parp1	PARP1
Parp16	parp16	Parp16	PARP16
Pask	pask	Pask	PASK
Past1	ehd1a	Ehd1	EHD1
Pat1	appbp2	Appbp2	APPBP2
Patr-1	patl1	Patl1	PATL1
Patronin	camsap2a	Camsap2	CAMSAP2
Pbgs	alad	Alad	ALAD
Pbp49	snapc3	Snapc3	SNAPC3
Pbp95	snapc4	Snapc4	SNAPC4
Pc	cbx8a	Cbx8	CBX8
Pcd	pcbd1	Pcbd1	PCBD1
Pcf11	pcf11	Pcf11	PCF11
Pcl	phf19	Phf19	PHF19
Pcmt	pcmt	Pcmt1	PCMT1
Pde11	pde5ab	Pde5a	PDE5A
Pde8	pde8b	Pde8b	PDE8B
Pdha	pdha1a	Pdha1	PDHA1
Pdhb	pdhb	Pdhb	PDHB
Pdi	p4hb	P4hb	P4HB
Pdk1	pdpk1b	Pdpk1	PDPK1
Pdp	pdp1	Pdp1	PDP1
Pdp1	hlfa	Hlf	HLF
Pdrg1	pdrg1	Pdrg1	PDRG1
Pdss2	pdss2	Pdss2	PDSS2
Pect	pcyt2	Pcyt2	PCYT2
Pepck1	pck2	Pck2	PCK2
Pex1	pex1	Pex1	PEX1
Pex10	pex10	Pex10	PEX10
Pex11	pex11b	Pex11b	PEX11B
Pex12	pex12	Pex12	PEX12
Pex13	pex13	Pex13	PEX13
Pex14	pex14	Pex14	PEX14
Pex16	pex16	Pex16	PEX16
Pex19	pex19	Pex19	PEX19
Pex23	tecpr1a	Tecpr1	TECPR1
Pex3	pex3	Pex3	PEX3
Pex5	pex5	Pex5	PEX5
Pex6	pex6	Pex6	PEX6
Pex7	pex7	Pex7	PEX7
Pez	ptpn21	Ptpn21	PTPN21
Pfas	pfas	Pfas	PFAS
Pfdn1	pfdn1	Pfdn1	PFDN1
Pfdn2	pfdn2	Pfdn2	PFDN2
Pfdn4	pfdn4	Pfdn4	PFDN4
Pfdn5	pfdn5	Pfdn5	PFDN5
Pfk	pfkma	Pfkm	PFKM
Pgant35A	galnt11	Galnt11	GALNT11
Pgant7	galnt7	Galnt7	GALNT7
Pgd	pgd	Pgd	PGD
PhKgamma	phkg2	Phkg2	PHKG2
Phax	phax	Phax	PHAX
Phb2	phb2b	Phb2	PHB2
PheRS-m	fars2	Fars2	FARS2
Phf5a	phf5a	Phf5a	PHF5A
Pi3K59F	pik3c3	Pik3c3	PIK3C3
Pi3K68D	pik3c2a	Pik3c2a	PIK3C2A
Pi3K92E	pik3cb	Pik3cb	PIK3CB
Pi4KIIalpha	pi4k2a	Pi4k2a	PI4K2A
Pif1	pif1	Pif1	PIF1
Pih1D1	pih1d1	Pih1d1	PIH1D1
Pink1	pink1	Pink1	PINK1
Pis	cdipt	Cdipt	CDIPT
Pisd	pisd	Pisd	PISD
Pits	irf2bp2b	Irf2bp2	IRF2BP2
Pitslre	cdk11b	Cdk11b	CDK11B
Pka-C1	prkacbb	Prkacb	PRKACB
Pka-C3	prkx	Prkx	PRKX
Pka-R1	prkar1aa	Prkar1a	PRKAR1A
Pka-R2	prkar2aa	Prkar2a	PRKAR2A
Pkc53E	prkcbb	Prkcb	PRKCB
Pkd2	pkd2	Pkd2	PKD2
Pkn	pkn3	Pkn3	PKN3
Plap	plaa	Plaa	PLAA
Plc21C	plcb3	Plcb3	PLCB3
Pld	pld2	Pld2	PLD2
Plekhm1	plekhm3	Plekhm3	PLEKHM3
PlexA	plxna4	Plxna4	PLXNA4
PlexB	plxnb2a	Plxnb2	PLXNB2
Pli	peli2	Peli2	PELI2
Plod	plod3	Plod3	PLOD3
Plp	pcnt	Pcnt	PCNT
Pmm2	pmm2	Pmm2	PMM2
Pms2	pms2	Pms2	PMS2
Pngl	ngly1	Ngly1	NGLY1
Pnn	pnn	Pnn	PNN
Poc1	poc1b	Poc1b	POC1B
Pol32	pold3	Pold3	POLD3
Pomp	pomp	Pomp	POMP
Pop2	cnot7	Cnot7	CNOT7
Pp1-Y2	ppp1caa	Ppp1ca	PPP1CA
Pp2C1	ppm1da	Ppm1d	PPM1D
Pp4-19C	ppp4cb	Ppp4c	PPP4C
PpD3	ppp5c	Ppp5c	PPP5C
PpV	ppp6c	Ppp6c	PPP6C
Ppa	fbxl14b	Fbxl14	FBXL14
Ppat-Dpck	coasy	Coasy	COASY
Ppcs	ppcs	Ppcs	PPCS
Ppox	ppox	Ppox	PPOX
Ppt1	ppt1	Ppt1	PPT1
PrBP	pde6d	Pde6d	PDE6D
ProRS-m	pars2	Pars2	PARS2
Prosalpha2	psma2	Psma2	PSMA2
Prosalpha5	psma5	Psma5	PSMA5
Prosalpha7	psma3	Psma3	PSMA3
Prosbeta2	psmb7	Psmb7	PSMB7
Prosbeta3	psmb3	Psmb3	PSMB3
Prosbeta6	psmb1	Psmb1	PSMB1
Prosbeta7	psmb4	Psmb4	PSMB4
Prp18	prpf18	Prpf18	PRPF18
Prp3	prpf3	Prpf3	PRPF3
Prp31	prpf31	Prpf31	PRPF31
Prp38	prpf38a	Prpf38a	PRPF38A
Prp8	prpf8	Prpf8	PRPF8
Prx3	prdx3	Prdx3	PRDX3
Psa	npepps	Npepps	NPEPPS
Psf1	gins1	Gins1	GINS1
Psf2	gins2	Gins2	GINS2
Psf3	gins3	Gins3	GINS3
Psi	fubp1	Fubp1	FUBP1
Psn	psen2	Psen2	PSEN2
Pten	ptenb	Pten	PTEN
Ptip	paxip1	Paxip1	PAXIP1
Ptp69D	ptprc	Ptprc	PTPRC
Ptpmeg	ptpn4a	Ptpn4	PTPN4
Ptpmeg2	ptpn9a	Ptpn9	PTPN9
Pus1	pus1	Pus1	PUS1
Pus7	pus7	Pus7	PUS7
Qsox1	qsox1	Qsox1	QSOX1
REG	psme3	Psme3	PSME3
REPTOR-BP	crebl2	Crebl2	CREBL2
RFeSP	uqcrfs1	Uqcrfs1	UQCRFS1
RIOK1	riok1	Riok1	RIOK1
RN-tre	usp6nl	Usp6nl	USP6NL
RNaseX25	rnaset2	Rnaset2b	RNASET2
RNaseZ	elac2	Elac2	ELAC2
RPA2	rpa2	Rpa2	RPA2
RPA3	rpa3	Rpa3	RPA3
RYBP	yaf2	Yaf2	YAF2
Rab10	rab10	Rab10	RAB10
Rab11	rab11a	Rab11a	RAB11A
Rab14	rab14	Rab14	RAB14
Rab19	rab43	Rab43	RAB43
Rab2	rab2a	Rab2a	RAB2A
Rab23	rab23	Rab23	RAB23
Rab27	rab27a	Rab27a	RAB27A
Rab3-GAP	rab3gap2	Rab3gap2	RAB3GAP2
Rab3-GEF	madd	Madd	MADD
Rab30	rab30	Rab30	RAB30
Rab32	rab32a	Rab32	RAB32
Rab35	rab35b	Rab35	RAB35
Rab4	rab4b	Rab4b	RAB4B
Rab40	rab40c	Rab40c	RAB40C
Rab5	rab5c	Rab5c	RAB5C
RabX1	rab22a	Rab22a	RAB22A
RabX4	rab12	Rab12	RAB12
RabX5	rab36	Rab36	RAB36
Rabex-5	rabgef1	Rabgef1	RABGEF1
Rad1	rad1	Rad1	RAD1
Rad17	rad17	Rad17	RAD17
Raf	braf	Braf	BRAF
RagA-B	rraga	Rragb	RRAGB
Rala	ralaa	Rala	RALA
RanBPM	ranbp9	Ranbp9	RANBP9
RanGAP	rangap1a	Rangap1	RANGAP1
Ranbp16	xpo7	Xpo7	XPO7
Ranbp9	ipo9	Ipo9	IPO9
Rap1	rap1aa	Rap1a	RAP1A
Rap2l	rap2b	Rap2b	RAP2B
RapGAP1	rap1gap2a	Rap1gap2	RAP1GAP2
Ras64B	rras2	Rras2	RRAS2
RasGAP1	rasa3	Rasa3	RASA3
Rassf	rassf2a	Rassf2	RASSF2
Rat1	xrn2	Xrn2	XRN2
Rb97D	hnrnpa1b	Hnrnpa1	HNRNPA1
Rbbp5	rbbp5	Rbbp5	RBBP5
Rbcn-3A	dmxl2	Dmxl2	DMXL2
Rbf	rbl2	Rbl2	RBL2
Rbm13	mak16	Mak16	MAK16
Rbpn-5	rabep1	Rabep1	RABEP1
Rcd5	mcrs1	Mcrs1	MCRS1
Rchy1	rchy1	Rchy1	RCHY1
Rcp	crcp	Crcp	CRCP
RecQ5	recql5	Recql5	RECQL5
Reck	reck	Reck	RECK
ReepA	reep2	Reep2	REEP2
Rel	nfkb2	Nfkb2	NFKB2
Rep	chm	Chm	CHM
Reps	reps1	Reps1	REPS1
Rev1	rev1	Rev1	REV1
RfC3	rfc5	Rfc5	RFC5
RfC38	rfc3	Rfc3	RFC3
RfC4	rfc2	Rfc2	RFC2
Rfx	rfx3	Rfx3	RFX3
Rgl	rgl1	Rgl1	RGL1
Rhau	dhx36	Dhx36	DHX36
Rheb	rhebl1	Rhebl1	RHEBL1
Rho1	rhocb	Rhoc	RHOC
RhoBTB	rhobtb2b	Rhobtb2	RHOBTB2
RhoGAP15B	arap3	Arap3	ARAP3
RhoGAP19D	arhgap23a	Arhgap23	ARHGAP23
RhoGAP54D	arhgap19	Arhgap19	ARHGAP19
RhoGAP5A	chn2	Chn2	CHN2
RhoGAP68F	arhgap1	Arhgap1	ARHGAP1
RhoGDI	arhgdig	Arhgdib	ARHGDIB
Ric	rit1	Rit1	RIT1
Rif1	rif1	Rif1	RIF1
Rift	slc52a3	Slc52a3	SLC52A3
Rim2	slc25a36a	Slc25a36	SLC25A36
Rint1	rint1	Rint1	RINT1
Ripalpha	rpain	Rpain	RPAIN
Rlb1	srfbp1	Srfbp1	SRFBP1
Rlip	ralbp1	Ralbp1	RALBP1
Rm62	ddx5	Ddx5	DDX5
Rnb	armc5	Armc5	ARMC5
Rnf146	rnf146	Rnf146	RNF146
Rnmt	rnmt	Rnmt	RNMT
Rnp4F	sart3	Sart3	SART3
RnrL	rrm1	Rrm1	RRM1
Roc2	rnf7	Rnf7	RNF7
Roe1	grpel1	Grpel1	GRPEL1
Rok	rock1	Rock1	ROCK1
Root	crocc2	Crocc	CROCC
Rox8	tial1	Tial1	TIAL1
RpA-70	rpa1	Rpa1	RPA1
RpI1	polr1a	Polr1a	POLR1A
RpI12	znrd1	Znrd1	ZNRD1
RpI135	polr1b	Polr1b	POLR1B
RpII140	polr2b	Polr2b	POLR2B
RpII15	polr2i	Polr2i	POLR2I
RpII18	polr2f	Polr2f	POLR2F
RpII215	polr2a	Polr2a	POLR2A
RpII33	polr2c	Polr2c	POLR2C
RpIII128	polr3b	Polr3b	POLR3B
RpIIIC160	polr3a	Polr3a	POLR3A
RpL10	rpl10	Rpl10	RPL10
RpL11	rpl11	Rpl11	RPL11
RpL12	rpl12	Rpl12	RPL12
RpL13	rpl13	Rpl13	RPL13
RpL13A	rpl13a	Rpl13a	RPL13A
RpL14	rpl14	Rpl14	RPL14
RpL15	rpl15	Rpl15	RPL15
RpL17	rpl17	Rpl17	RPL17-C18orf32
RpL18	rpl18	Rpl18	RPL18
RpL18A	rpl18a	Rpl18a	RPL18A
RpL19	rpl19	Rpl19	RPL19
RpL21	rpl21	Rpl21	RPL21
RpL23	rpl23	Rpl23	RPL23
RpL23A	rpl23a	Rpl23a	RPL23A
RpL24	rpl24	Rpl24	RPL24
RpL24-like	rsl24d1	Rsl24d1	RSL24D1
RpL26	rpl26	Rpl26	RPL26
RpL27	rpl27	Rpl27	RPL27
RpL28	rpl28	Rpl28	RPL28
RpL3	rpl3	Rpl3	RPL3
RpL30	rpl30	Rpl30	RPL30
RpL31	rpl31	Rpl31	RPL31
RpL32	rpl32	Rpl32	RPL32
RpL35A	rpl35a	Rpl35a	RPL35A
RpL36	rpl36	Rpl36	RPL36
RpL36A	rpl36a	Rpl36al	RPL36A
RpL38	rpl38	Rpl38	RPL38
RpL39	rpl39	Rpl39	RPL39
RpL4	rpl4	Rpl4	RPL4
RpL40	uba52	Uba52	UBA52
RpL6	rpl6	Rpl6	RPL6
RpL7	rpl7	Rpl7	RPL7
RpL7A	rpl7a	Rpl7a	RPL7A
RpL8	rpl8	Rpl8	RPL8
RpL9	rpl9	Rpl9	RPL9
RpLP0	rplp0	Rplp0	RPLP0
RpLP0-like	mrto4	Mrto4	MRTO4
RpLP1	rplp1	Rplp1	RPLP1
RpS11	rps11	Rps11	RPS11
RpS12	rps12	Rps12	RPS12
RpS13	rps13	Rps13	RPS13
RpS15	rps15	Rps15	RPS15
RpS16	rps16	Rps16	RPS16
RpS18	rps18	Rps18	RPS18
RpS2	rps2	Rps2	RPS2
RpS20	rps20	Rps20	RPS20
RpS21	rps21	Rps21	RPS21
RpS23	rps23	Rps23	RPS23
RpS24	rps24	Rps24	RPS24
RpS25	rps25	Rps25	RPS25
RpS27A	rps27a	Rps27a	RPS27A
RpS29	rps29	Rps29	RPS29
RpS3	rps3	Rps3	RPS3
RpS4	rps4x	Rps4x	RPS4X
RpS6	rps6	Rps6	RPS6
RpS7	rps7	Rps7	RPS7
RpS8	rps8b	Rps8	RPS8
RpS9	rps9	Rps9	RPS9
Rpb10	polr2l	Polr2l	POLR2L
Rpb11	polr2j	Polr2j	POLR2J
Rpb12	polr2k	Polr2k	POLR2K
Rpb5	polr2eb	Polr2e	POLR2E
Rpb7	polr2gl	Polr2g	POLR2G
Rpb8	polr2h	Polr2h	POLR2H
Rpe	rpe	Rpe	RPE
Rpi	rpia	Rpia	RPIA
Rpn1	psmd2	Psmd2	PSMD2
Rpn11	psmd14	Psmd14	PSMD14
Rpn2	psmd1	Psmd1	PSMD1
Rpn3	psmd3	Psmd3	PSMD3
Rpn5	psmd12	Psmd12	PSMD12
Rpn7	psmd6	Psmd6	PSMD6
Rpn8	psmd7	Psmd7	PSMD7
Rpn9	psmd13	Psmd13	PSMD13
Rpp30	rpp30	Rpp30	RPP30
Rpt1	psmc2	Psmc2	PSMC2
Rpt5	psmc3	Psmc3	PSMC3
Rrp1	apex1	Apex1	APEX1
Rrp4	exosc2	Exosc2	EXOSC2
Rrp40	exosc3	Exosc3	EXOSC3
Rrp42	exosc7	Exosc7	EXOSC7
Rrp45	exosc9	Exosc9	EXOSC9
Rrp46	exosc5	Exosc5	EXOSC5
Rrp47	c1d	C1d	C1D
Rrp6	exosc10	Exosc10	EXOSC10
Rs1	ddx27	Ddx27	DDX27
RtGEF	arhgef6	Arhgef6	ARHGEF6
Rtc1	rcl1	Rcl1	RCL1
Rtnl1	rtn1b	Rtn1	RTN1
S1P	mbtps1	Mbtps1	MBTPS1
S2P	mbtps2	Mbtps2	MBTPS2
S6kII	rps6ka3b	Rps6ka3	RPS6KA3
SA	stag1b	Stag1	STAG1
SAK	plk4	Plk4	PLK4
SCAP	scap	Scap	SCAP
SCAR	wasf2	Wasf2	WASF2
SCCRO	dcun1d1	Dcun1d1	DCUN1D1
SCCRO4	dcun1d4	Dcun1d4	DCUN1D4
SCOT	oxct1a	Oxct1	OXCT1
SCaMC	slc25a25b	Slc25a25	SLC25A25
SF1	sf1	Sf1	SF1
SH3PX1	snx18a	Snx18	SNX18
SIDL	trappc10	Trappc10	TRAPPC10
SMC1	smc1al	Smc1a	SMC1A
SMC2	smc2	Smc2	SMC2
SMC3	smc3	Smc3	SMC3
SMC5	smc5	Smc5	SMC5
SNF4Agamma	prkag2a	Prkag2	PRKAG2
SNRPG	snrpg	Snrpg	SNRPG
SPARC	sparc	Sparc	SPARC
SPoCk	atp2c1	Atp2c1	ATP2C1
SREBP	srebf2	Srebf2	SREBF2
SRm160	srrm1	Srrm1	SRRM1
STUB1	stub1	Stub1	STUB1
Saf-B	safb	Safb	SAFB
Sam-S	mat2ab	Mat2a	MAT2A
Samuel	samd11	Samd11	SAMD11
Sap-r	psap	Psap	PSAP
Sap30	sap30l	Sap30l	SAP30L
Sap47	syap1	Syap1	SYAP1
Sara	zfyve16	Zfyve16	ZFYVE16
Sas-4	cenpj	Cenpj	CENPJ
Sas-6	sass6	Sass6	SASS6
Sas10	utp3	Utp3	UTP3
Sbat	naa38	Naa38	NAA38
Sbp2	secisbp2	Secisbp2	SECISBP2
Sc2	tecrb	Tecr	TECR
Scamp	scamp1	Scamp1	SCAMP1
Sce	rnf2	Rnf2	RNF2
Scgalpha	sgce	Sgce	SGCE
Scgbeta	sgcb	Sgcb	SGCB
Sclp	lrrc20	Lrrc20	LRRC20
Scm	scml2	Scml2	SCML2
ScsbetaA	sucla2	Sucla2	SUCLA2
ScsbetaG	suclg2	Suclg2	SUCLG2
Sdc	sdc2	Sdc2	SDC2
SdhD	sdhdb	Sdhd	SDHD
Sec10	exoc5	Exoc5	EXOC5
Sec13	sec13	Sec13	SEC13
Sec15	exoc6	Exoc6	EXOC6
Sec16	sec16b	Sec16b	SEC16B
Sec22	sec22bb	Sec22b	SEC22B
Sec23	sec23a	Sec23a	SEC23A
Sec24AB	sec24b	Sec24b	SEC24B
Sec24CD	sec24c	Sec24c	SEC24C
Sec3	exoc1	Exoc1	EXOC1
Sec31	sec31a	Sec31a	SEC31A
Sec5	exoc2	Exoc2	EXOC2
Sec6	exoc3	Exoc3	EXOC3
Sec61beta	sec61b	Sec61b	SEC61B
Sec63	sec63	Sec63	SEC63
Sec71	arfgef1	Arfgef1	ARFGEF1
Sec8	exoc4	Exoc4	EXOC4
Ser	jag1b	Jag1	JAG1
Ser6	gzma	Gzmk	GZMK
SerRS	sars	Sars	SARS
Sesn	sesn1	Sesn1	SESN1
Set2	setd2	Setd2	SETD2
Setd3	setd3	Setd3	SETD3
Sf3a1	sf3a1	Sf3a1	SF3A1
Sf3a2	sf3a2	Sf3a2	SF3A2
Sf3b1	sf3b1	Sf3b1	SF3B1
Sf3b2	sf3b2	Sf3b2	SF3B2
Sf3b3	sf3b3	Sf3b3	SF3B3
Sf3b5	sf3b5	Sf3b5	SF3B5
Sfxn1-3	sfxn1	Sfxn1	SFXN1
Sfxn2	sfxn2	Sfxn2	SFXN2
Sgf11	atxn7l3	Atxn7l3	ATXN7L3
Shark	syk	Syk	SYK
Shc	shc1	Shc1	SHC1
Shmt	shmt1	Shmt1	SHMT1
Sin	polr3e	Polr3e	POLR3E
Sin1	mapkap1	Mapkap1	MAPKAP1
Sirt1	sirt1	Sirt1	SIRT1
Sirt2	sirt2	Sirt2	SIRT2
Sirt4	sirt4	Sirt4	SIRT4
Sirt7	sirt7	Sirt7	SIRT7
Ski6	exosc4	Exosc4	EXOSC4
Skp2	skp2	Skp2	SKP2
Sld5	gins4	Gins4	GINS4
Slh	scfd1	Scfd1	SCFD1
Slik	slka	Slk	SLK
Slmap	slmapa	Slmap	SLMAP
Slu7	slu7	Slu7	SLU7
SmB	snrpb	Snrpb	SNRPB
SmD1	snrpd1	Snrpd1	SNRPD1
SmD2	snrpd2	Snrpd2	SNRPD2
SmD3	snrpd3l	Snrpd3	SNRPD3
SmE	snrpe	Snrpe	SNRPE
SmF	snrpf	Snrpf	SNRPF
Smg5	smg5	Smg5	SMG5
Smg6	smg6	Smg6	SMG6
Smn	smn1	Smn1	SMN2
Smr	ncor2	Ncor2	NCOR2
Sms	sms	Sms	SMS
Smu1	smu1a	Smu1	SMU1
Smurf	smurf2	Smurf2	SMURF2
Smyd3	smyd2a	Smyd2	SMYD2
Smyd5	smyd5	Smyd5	SMYD5
Snap29	snap29	Snap29	SNAP29
Snm1	dclre1a	Dclre1a	DCLRE1A
Snp	eri2	Eri2	ERI2
Snr1	smarcb1a	Smarcb1	SMARCB1
Snx1	snx1a	Snx1	SNX1
Snx16	snx16	Snx16	SNX16
Snx6	snx6	Snx6	SNX6
Socs16D	socs7	Socs7	SOCS7
Sod2	sod2	Sod2	SOD2
Sos	sos2	Sos2	SOS2
Sox102F	sox6	Sox6	SOX6
Spase12	spcs1	Spcs1	SPCS1
Spase22-23	spcs3	Spcs3	SPCS3
Spase25	spcs2	Spcs2	SPCS2
SpdS	srm	Srm	SRM
Spec2	cdc42se2	Cdc42se2	CDC42SE2
Spf45	rbm17	Rbm17	RBM17
Spg7	spg7	Spg7	SPG7
Sply	sgpl1	Sgpl1	SGPL1
Spp	hm13	H13	HM13
SppL	sppl3	Sppl3	SPPL3
Spred	spred2b	Spred2	SPRED2
Spt-I	sptlc1	Sptlc1	SPTLC1
Spt7	supt7l	Supt7l	SUPT7L
Sptr	spra	Spr	SPR
Spx	sf3b4	Sf3b4	SF3B4
Sra-1	cyfip2	Cyfip2	CYFIP2
Sras	rce1a	Rce1	RCE1
Srp14	srp14	Srp14	SRP14
Srp19	srp19	Srp19	SRP19
Srp54	srek1	Srek1	SREK1
Srp54k	srp54	Srp54b	SRP54
Srp68	srp68	Srp68	SRP68
Srp72	srp72	Srp72	SRP72
Srp9	srp9	Srp9	SRP9
SrpRbeta	srprb	Srprb	SRPRB
SsRbeta	ssr2	Ssr2	SSR2
Ssadh	aldh5a1	Aldh5a1	ALDH5A1
Ssdp	ssbp3a	Ssbp3	SSBP3
Sse	espl1	Espl1	ESPL1
Ssu72	ssu72	Ssu72	SSU72
St2	sult2st3	Sult2b1	SULT2B1
Stacl	stac3	Stac3	STAC3
Start1	stard3	Stard3	STARD3
Stat92E	stat5a	Stat5b	STAT5B
Stim	stim1a	Stim1	STIM1
Sting	tmem173	Tmem173	TMEM173
Stip1	stip1	Stip1	STIP1
Stlk	strada	Strada	STRADA
Stoml2	stoml2	Stoml2	STOML2
Strn-Mlck	mylkb	Mylk	MYLK
Stt3A	stt3a	Stt3a	STT3A
Su(P)	ptgesl	Ptges2	PTGES2
Su(Tpl)	ell2	Ell2	ELL2
Su(dx)	wwp2	Wwp2	WWP2
Su(fu)	sufu	Sufu	SUFU
Su(var)2-10	pias2	Pias2	PIAS2
Su(var)205	cbx1b	Cbx1	CBX1
Su(var)3-3	kdm1a	Kdm1a	KDM1A
Su(z)12	suz12b	Suz12	SUZ12
Su(z)2	pcgf1	Pcgf1	PCGF1
Sur-8	shoc2	Shoc2	SHOC2
Surf1	surf1	Surf1	SURF1
Surf6	surf6	Surf6	SURF6
Suv3	supv3l1	Supv3l1	SUPV3L1
Svil	svila	Svil	SVIL
Swim	tinagl1	Tinagl1	TINAGL1
Swip-1	efhd2	Efhd2	EFHD2
Sym	sympk	Sympk	SYMPK
Synj	synj1	Synj1	SYNJ1
Syx16	stx16	Stx16	STX16
Syx17	stx17	Stx17	STX17
Syx18	stx18	Stx18	STX18
Syx5	stx5a	Stx5a	STX5
Syx6	stx6	Stx6	STX6
Syx7	stx12	Stx12	STX12
Syx8	stx8	Stx8	STX8
T3dh	adhfe1	Adhfe1	ADHFE1
TAF1B	taf1b	Taf1b	TAF1B
TBC1D16	tbc1d16	Tbc1d16	TBC1D16
TBC1D5	tbc1d5	Tbc1d5	TBC1D5
TBC1d7	tbc1d7	Tbc1d7	TBC1D7
TBCB	tbcb	Tbcb	TBCB
TBCC	tbcc	Tbcc	TBCC
TBCD	tbcd	Tbcd	TBCD
TER94	vcp	Vcp	VCP
TFAM	tfam	Tfam	TFAM
THG	thg1l	Thg1l	THG1L
TM9SF3	tm9sf3	Tm9sf3	TM9SF3
TM9SF4	tm9sf4	Tm9sf4	TM9SF4
TMS1	serinc1	Serinc1	SERINC1
TRAM	tram1	Tram1	TRAM1
TTLL12	ttll12	Ttll12	TTLL12
TTLL5	ttll5	Ttll5	TTLL5
Tab2	tab2	Tab2	TAB2
Tace	adam17a	Adam17	ADAM17
Taf1	taf1	Taf1	TAF1
Taf11	taf11	Taf11	TAF11
Taf13	taf13	Taf13	TAF13
Taf2	taf2	Taf2	TAF2
Taf7	taf7	Taf7	TAF7
Taldo	taldo1	Taldo1	TALDO1
Tango1	mia3	Mia3	MIA3
Tango11	mff	Mff	MFF
Tango14	nus1	Nus1	NUS1
Tango4	plrg1	Plrg1	PLRG1
